Overall  April/23  May/23  June/23  July/23  August/23  September/23  October/23  November/23  December/23  January/24  February/24  March/24  April/24  May/24  June/24  July/24  August/24  September/24  October/24  November/24  December/24  January/25  February/25  March/25  April/25  May/25  June/25  July/25  August/25  September/25  October/25  November/25  December/25  January/26
Brand marketing cost (INR Lakhs)        6.50     7.50     28.00    18.70    22.00    14.80   82.00    51.00    154.77   19.14    67.93    22.96   26.34    64.72    144.41   83.11    81.23    125.91   101.98   109.16   55.09    45.50    66.03   331.15  363.01  97.01    92.39    62.63    35.26    25.10    10.59    0.00     0.12     0.00
Operating Profit (INR Lakhs)            -126.39  -140.19  -198.79  -158.82  -116.90  -88.86  -186.34  -280.62  -226.09  -190.09  -246.70  -57.64  -144.75  -172.27  -87.74   -134.74  -51.77   21.86    -438.72  -364.54  -851.29  -122.73  617.58  52.39   22.58   -194.60  -504.24  -116.00  -392.82  -676.32  -600.73  -102.94  -733.46  -733.46
Operating Margin                        -254.4%  -247.5%  -194.8%  -124.4%  -113.4%  -86.5%  -131.1%  -142.7%  -61.9%   -67.2%   -66.6%   -11.6%  -28.2%   -21.3%   -7.8%    -11.0%   -4.1%    1.7%     -29.2%   -25.6%   -56.1%   -8.6%    55.4%   4.7%    2.1%    -18.5%   -49.1%   -9.7%    -32.0%   -49.5%   -42.3%   -7.2%    -56.6%   -56.6%

Cash Balance (INR Lakhs)  2549.90  2260.48  1969.32  1957.17  1880.91  1693.85  1521.68  1283.69  1198.71  1075.37  802.04  1124.35  1014.98  1083.33  1454.90  1528.53  1499.11  1478.42  1261.51  1016.55  9259.09  8,967  8,703  7,148  7,218  7,191  7,097  6,879  6,318  5,720  5,463.18  4,977.54  4,138.43  3,192.31
Runway                    20       16       10       12       16       19       8        5        5        6        3       20       7        6        17       11       29       ∞        3        3        11       73     ∞      ∞      ∞      37     14     222    21     10     12        48        6         4
Refunds (INR Lakhs)                                                                                                                                                                        28.32    31.57    31.28    29.69  18.12  15.11  12.88  14.11  19.63  41.42  48.63  60.78  61.81     60.97     40.89





Cost     #REF!
Revenue  2321.60
